name,house_number,road,postcode,locality,region,country,country_code
braum's ice cream & dairy stores,550,e 47th st s,,wichita,ks,,
holiday inn express & suites bradley airport,600,spring street,06096,windsor locks,connecticut,spojené státy,
ter horst van geel,14,hoofdstraat,3901 am,"veenendaal, nederland",,,
hotel rappen am muensterplatz,13,muensterplatz,79098,freiburg im breisgau,baden-württemberg,germany,
torah spot,374,ridgewood ave,10312,staten island,ny,,
,1105,north glebe road,22201,arlington,virginia,united states,
streamliner 16th,1616,east polk st,85006,phoenix,az,us,us
wilson public library,910,meridian ave.,69130,cozad,ne,united states,us
art center of corpus christi,100,north shoreline,78401,corpus christi,tx,us,us
,2,stanisława konarskiego,,siedlce,,,
landratsamt göppingen,6,lorcher str.,73033,göppingen,,,
,1208,north main street,24060,blacksburg,virginia,spojené státy,
,4270,n harlem,60706,norridge,il,us,us
le tre vaselle resort & spa,48,via giuseppe garibaldi,06089,torgiano,,ý,
alwell,85,cleaveland road,94523,pleasant hill,ca,,
chase bank,3241,lakeshore avenue,94610,oakland,ca,,
the state theatre,719,congress ave,78701,austin,tx,,
,4201,wilson boulevard,22203,arlington,virginia,united states,
peru baptist church,98,main street,04290,peru,,united states,
,602,w 6th street,81054,las animas,co,,
st. andrew methodist,9203,s university blvd,80126,highlands ranch,co,usa,
haus bergland,4,trattenweg,9551,bodensdorf,,austria,
,15,bahnhofstr.,09544,neuhausen,,,
fairfield inn & suites williamsport,104,maynard street,17701,williamsport,pennsylvania:,hoa kỳ,
new paltz golf course,215,huguenot street,12561,new paltz,ny,,
hawaii national bank,3450,waialae avenue,96816,honolulu,hi,,
giant eagle,1955,e maple street,44720,north canton,oh,,
"hilton garden inn denver union station, co",1999,chestnut place,80202,denver,colorado,united states,
,2526,w 10th st,80634,greeley,co,,
hotel lilly,333,viale degli etruschi,57034,campo nell'elba,tuscany,italy,
south oak jeep dodge ram chrysler,4550,lincoln hwy,60443,matteson,il,us,us
wolfe legal services \/ attorney george wolfe,3212,north high street,43202,columbus,oh,,
,4650,santa fe st,92109,"san diego,",ca,,
,128,brawley school rd,28117,mooresville,nc,,
,700,n. king street,19801,wilmington,delaware,united states,
,15,via pastrengo,,milano,,,
,100,keienbergweg,1101 gh,amsterdam,nh,nl,nl
barceló imagine,32,calle de agustín de foxa,28036,มาดริด,,สเปน,
blossom chevrolet,1850,shadeland avenue,46219,indianapolis,in,us,us
green angel cleaning,7547,ravensridge road,63119,st louis,missouri,us,us
hotel igea,87,via ospedale,35100,pádua,vêneto,itália,
,13,isla graciosa,28703,san sebastián de los reyes,comunidad de madrid,es,es
,267,schleißheimer straße,80809,munich,,de,de
,1705,east central texas exp,76541,killeen,tx,,
nationale nederlanden,16,parque empresarial arroyo de la vega.,28108,alcobendas,madrid,es,es
,,,95605,west sacramento,california,,
petsmart,8095,e broad st,43068,reynoldsburg,oh,us,us
,340,north 3rd street,85004,phoenix,arizona,estados unidos,
,5,benzstr.,97082,würzburg,,,
,3073,s. horseshoe drive,,naples,florida,สเปน,
"l. patrick mulligan & associates, llc",28,north wilkinson street,45402,dayton,oh,,
hollywood highland hotel and hostel,7038,hollywood boulevard,90028,los angeles,kalifornia,stany zjednoczone,
dorfsaal osterbruch,25,dorfstraße,21762,osterbruch,,deutschland,
,80,bradford st,l4n 6s7,barrie,on,canada,
aare seeland mobil ag,12,grubenstrasse,4900,langenthal,,,
,123,s court st,35630,florence,al,,
holiday inn express cincinnati north - monroe,120,senate drive,45050,monroe,ohio,united states,
,37,im gewerbepark,91093,heßdorf,,,
,161,rue de paris,93000,bobigny,,,
the colonial theatre,227,bridge st,19460,phoenixville,pa,united states,us
mountain hut tschötsch,70,compatsch,39040,seiser alm,,,
,100,choccolocco st.,36203,oxford,al,united states of america,
,70,jakoberstraße,86153,augsburg,,de,de
sixt,140,pragstr.,70376,stuttgart,baden-wurttemberg,germany,
netto mit dem scottie,7,leuthener str.,03050,cottbus,,,
elite hotel savoy,62,norra vallgatan,211 22,malmö,,sverige,
oaks automotive llc,1065,ohio pike,45245,cincinnati,oh,,
,1,voestalpine-straße,4020,linz,oberösterreich,österreich,
mersen deutschland eggolsheim gmbh,12,in der bug,91330,eggolsheim,,germany,
,513,w. broad street,30601,athens,ga,,
,58,rue de saint-jean,1203,genève,,suisse,
rotunda pharmacy,7,triq il-kungress ewkaristiku,,il-mosta,,mt,mt
musee d’orsay,1,rue de la légion d'honneur,75007,paris,,france,
,2298,market st.,94114,san francisco,ca,,
,7,vikingsgatan,41104,göteborg,,,
best western annesley house hotel,6,newmarket road,nr2 2la,norwich,england,united kingdom,
shop for mens womens & kids clothing in roseville | gap store locator,2,folsom st,94105,san francisco,ca,,
,10,harley st,w1g 9pf,", london",london,united kingdom,
victoria estates apartment homes,1402,s marion road,57106,sioux falls,sd,us,us
,16,via quattro fontane,30126,venecia,véneto,italia,
,1700,sw 3rd avenue,33129,miami,fl,,
,,127 street,10027,new york,ny,,
ciudad prado hotel,2470,arturo m. bas,5016,córdoba,córdoba,argentina,
