name,house_number,road,postcode,locality,region,country,country_code
Braum's Ice Cream & Dairy Stores,550,E 47Th St S,,Wichita,KS,,
Holiday Inn Express & Suites Bradley Airport,600,Spring Street,06096,Windsor Locks,Connecticut,Spojené státy,
Ter Horst Van Geel,14,Hoofdstraat,3901 AM,"Veenendaal, Nederland",,,
Hotel Rappen am Muensterplatz,13,Muensterplatz,79098,Freiburg im Breisgau,Baden-Württemberg,Germany,
Torah Spot,374,Ridgewood Ave,10312,Staten Island,NY,,
,1105,North Glebe Road,22201,Arlington,Virginia,,
Streamliner 16th,1616,East Polk St,85006,Phoenix,AZ,US,us
Wilson Public Library,910,Meridian Ave.,69130,Cozad,NE,United States,
Art Center of Corpus Christi,100,North Shoreline,78401,Corpus Christi,TX,US,us
,2,Stanisława Konarskiego,,Siedlce,,,
Landratsamt Göppingen,6,Lorcher Str.,73033,Göppingen,,,
,1208,North Main Street,24060,Blacksburg,Virginia,,
,4270,N Harlem,60706,Norridge,IL,US,us
Le Tre Vaselle Resort & Spa,48,Via Giuseppe Garibaldi,06089,Torgiano,,Ý,
Alwell,85,Cleaveland Road,94523,Pleasant Hill,CA,,
Chase Bank,3241,Lakeshore Avenue,94610,Oakland,CA,,
The State Theatre,719,Congress Ave,78701,Austin,TX,,
,4201,Wilson Boulevard,22203,Arlington,Virginia,United States,
Peru Baptist Church,98,Main Street,04290,Peru,,United States,
,602,W 6Th Street,81054,Las Animas,CO,,
St. Andrew Methodist,9203,S University Blvd,80126,Highlands Ranch,CO,USA,
Haus Bergland,4,Trattenweg,9551,Bodensdorf,,Austria,
,15,Bahnhofstr.,09544,Neuhausen,,,
Fairfield Inn & Suites Williamsport,104,Maynard Street,17701,Williamsport,Pennsylvania:,Hoa Kỳ,
New Paltz Golf Course,215,Huguenot Street,12561,New Paltz,NY,,
Hawaii National Bank,3450,Waialae Avenue,96816,Honolulu,HI,,
Giant Eagle,1955,E Maple Street,44720,North Canton,OH,,
"Hilton Garden Inn Denver Union Station, CO",1999,Chestnut Place,80202,Denver,Colorado,United States,
,2526,W 10Th St,80634,Greeley,CO,,
Hotel Lilly,333,Viale Degli Etruschi,57034,Campo nell'Elba,Tuscany,Italy,
South Oak Jeep Dodge Ram Chrysler,4550,Lincoln Hwy,60443,Matteson,IL,US,us
Wolfe Legal Services \/ Attorney George Wolfe,3212,North High Street,43202,Columbus,OH,,
,4650,Santa Fe St,92109,"San Diego,",CA,,
,128,Brawley School Rd,28117,Mooresville,NC,,
,700,N. King Street,19801,Wilmington,Delaware,United States,
,15,Via Pastrengo,,Milano,,,
,100,Keienbergweg,1101 GH,Amsterdam,NH,NL,nl
Barceló Imagine,32,Calle De Agustín De Foxa,28036,มาดริด,,สเปน,
Blossom Chevrolet,1850,Shadeland Avenue,46219,Indianapolis,IN,US,us
GREEN ANGEL CLEANING,7547,Ravensridge Road,63119,St Louis,Missouri,US,us
Hotel Igea,87,Via Ospedale,35100,Pádua,Vêneto,Itália,
,13,Isla Graciosa,28703,San Sebastián de los Reyes,Comunidad de Madrid,ES,es
,267,Schleißheimer Straße,80809,Munich,,DE,de
,1705,East Central Texas Exp,76541,Killeen,TX,,
Nationale Nederlanden,16,Parque Empresarial Arroyo De La Vega.,28108,Alcobendas,Madrid,ES,es
,,,95605,West Sacramento,California,,
PetSmart,8095,E Broad St,43068,Reynoldsburg,OH,US,us
,340,North 3Rd Street,85004,Phoenix,Arizona,Estados Unidos,
,5,Benzstr.,97082,Würzburg,,,
,3073,S. Horseshoe Drive,,Naples,Florida,,
"L. Patrick Mulligan & Associates, LLC",28,North Wilkinson Street,45402,Dayton,OH,,
Hollywood Highland Hotel And Hostel,7038,Hollywood Boulevard,90028,Los Angeles,Kalifornia,Stany Zjednoczone,
 Dorfsaal Osterbruch,25,Dorfstraße,21762,Osterbruch,,Deutschland,
,80,Bradford St,l4n 6s7,Barrie,ON,Canada,
Aare Seeland mobil AG,12,Grubenstrasse,4900,Langenthal,,,
,123,S Court St,35630,Florence,AL,,
Holiday Inn Express Cincinnati North - Monroe,120,Senate Drive,45050,Monroe,Ohio,United States,
,37,Im Gewerbepark,91093,Heßdorf,,,
,161,Rue De Paris,93000,BOBIGNY,,,
The Colonial Theatre,227,Bridge St,19460,Phoenixville,PA,United States,
Mountain Hut Tschötsch,70,Compatsch,39040,Seiser Alm,,,
,100,Choccolocco St.,36203,Oxford,AL,United States of America,
,70,Jakoberstraße,86153,Augsburg,,de,de
Sixt,140,Pragstr.,70376,Stuttgart,Baden-Wurttemberg,Germany,
Netto mit dem Scottie,7,Leuthener Str.,03050,Cottbus,,,
Elite Hotel Savoy,62,Norra Vallgatan,211 22,Malmö,,Sverige,
Oaks Automotive LLC,1065,Ohio Pike,45245,Cincinnati,OH,,
,1,Voestalpine-Straße,4020,Linz,Oberösterreich,Österreich,
Mersen Deutschland Eggolsheim Gmbh,12,In Der Bug,91330,Eggolsheim,,Germany,
,513,W. Broad Street,30601,Athens,GA,,
